date	ouv	haut	bas	clot	vol	devise	
11/03/2015 00:00	112	112	111.1	111.1	11	EUR	
12/03/2015 00:00	112.51	112.51	112.51	112.51	1	EUR	
13/03/2015 00:00	112.51	113.98	112.5	113.98	301	EUR	
16/03/2015 00:00	113.61	113.9	111	113.9	29	EUR	
17/03/2015 00:00	112	114	110.5	114	182	EUR	
18/03/2015 00:00	114	114	113	114	171	EUR	
19/03/2015 00:00	113.99	115	113.99	115	147	EUR	
20/03/2015 00:00	115.01	115.01	115.01	115.01	1	EUR	
23/03/2015 00:00	116.5	116.5	116.5	116.5	5	EUR	
24/03/2015 00:00	116.49	118.25	116.49	118.25	4	EUR	
25/03/2015 00:00	118.24	118.24	117	117	61	EUR	
26/03/2015 00:00	115.7	115.7	115.7	115.7	5	EUR	
27/03/2015 00:00	115.7	115.7	115.7	115.7	6	EUR	
30/03/2015 00:00	115.7	118.25	115.7	115.7	303	EUR	
31/03/2015 00:00	116.5	116.5	116.5	116.5	0	EUR	
02/04/2015 00:00	110.85	115.01	110.5	115	443	EUR	
07/04/2015 00:00	115	115	115	115	1	EUR	
08/04/2015 00:00	115	116.01	112.1	116.01	201	EUR	
09/04/2015 00:00	116	116	116	116	1	EUR	
10/04/2015 00:00	116.01	116.01	116.01	116.01	20	EUR	
13/04/2015 00:00	116.01	116.45	115.85	116	580	EUR	
14/04/2015 00:00	115.49	116	115.49	116	128	EUR	
15/04/2015 00:00	115.99	116.65	115.99	116.65	67	EUR	
16/04/2015 00:00	116.65	116.65	113.01	116	104	EUR	
17/04/2015 00:00	113.01	113.01	113.01	113.01	40	EUR	
20/04/2015 00:00	115.95	115.95	113	115.94	216	EUR	
21/04/2015 00:00	113.99	113.99	113.99	113.99	1	EUR	
22/04/2015 00:00	115.94	115.94	115.92	115.92	152	EUR	
23/04/2015 00:00	115.84	115.84	115.84	115.84	2	EUR	
24/04/2015 00:00	115.8	115.8	113.1	115.79	147	EUR	
27/04/2015 00:00	115.95	115.95	110	110	419	EUR	
28/04/2015 00:00	115	115	115	115	2	EUR	
29/04/2015 00:00	113.5	113.5	113.5	113.5	2	EUR	
30/04/2015 00:00	114.9	114.9	111	113.49	48	EUR	
04/05/2015 00:00	113.49	113.49	109	109	163	EUR	
05/05/2015 00:00	109	109	104.1	104.1	287	EUR	
06/05/2015 00:00	104.1	111.5	104.1	110.95	251	EUR	
07/05/2015 00:00	110.94	110.94	110.94	110.94	52	EUR	
08/05/2015 00:00	110.94	110.95	110.94	110.95	5	EUR	
11/05/2015 00:00	110.94	110.95	105.5	106	1009	EUR	
12/05/2015 00:00	106.11	106.11	106.1	106.1	431	EUR	
13/05/2015 00:00	106.1	106.1	106.1	106.1	93	EUR	
14/05/2015 00:00	108.98	108.98	106.1	106.1	50	EUR	
15/05/2015 00:00	106.1	111.72	106.1	108	391	EUR	
18/05/2015 00:00	108.01	108.01	108.01	108.01	1	EUR	
19/05/2015 00:00	110.02	110.02	110.01	110.01	101	EUR	
20/05/2015 00:00	110	111	110	111	195	EUR	
21/05/2015 00:00	111	111.72	111	111.72	11	EUR	
22/05/2015 00:00	112.01	112.01	107	112	176	EUR	
25/05/2015 00:00	115	115	107.2	110.97	192	EUR	
26/05/2015 00:00	112.1	112.1	110	110	91	EUR	
27/05/2015 00:00	110	110	109	109	23	EUR	
28/05/2015 00:00	112	112	112	112	17	EUR	
29/05/2015 00:00	111.99	111.99	111.99	111.99	1	EUR	
01/06/2015 00:00	111.99	112	111.99	112	18	EUR	
02/06/2015 00:00	111.99	111.99	111.99	111.99	1	EUR	
03/06/2015 00:00	112.5	112.5	112.5	112.5	119	EUR	
04/06/2015 00:00	118	118	113.6	115	107	EUR	
05/06/2015 00:00	114.99	118	114.99	118	114	EUR	
08/06/2015 00:00	118	118.89	113.5	118.5	212	EUR	
09/06/2015 00:00	118.49	118.5	114	118.5	472	EUR	
10/06/2015 00:00	118.49	118.5	118.49	118.5	724	EUR	
11/06/2015 00:00	118.49	118.49	114.06	116.5	115	EUR	
12/06/2015 00:00	115.78	115.78	114	115.25	125	EUR	
15/06/2015 00:00	115	115	110.02	113.5	224	EUR	
16/06/2015 00:00	113.5	113.5	111	111	24	EUR	
17/06/2015 00:00	113.5	113.5	111	113.5	37	EUR	
18/06/2015 00:00	113.5	113.5	112	112	34	EUR	
19/06/2015 00:00	113.5	113.5	112	113.5	88	EUR	
22/06/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
23/06/2015 00:00	112.99	112.99	112.5	112.5	6	EUR	
24/06/2015 00:00	112.51	112.51	112.51	112.51	1	EUR	
25/06/2015 00:00	112.51	113.5	112.51	113.5	22	EUR	
26/06/2015 00:00	113.5	113.5	112.5	112.5	16	EUR	
29/06/2015 00:00	112.5	112.5	112.5	112.5	1	EUR	
30/06/2015 00:00	112.5	112.5	112	112	53	EUR	
01/07/2015 00:00	112	112	112	112	1	EUR	
02/07/2015 00:00	112	112	112	110.2	1	EUR	
03/07/2015 00:00	110.2	114.3	110.2	114.3	64	EUR	
07/07/2015 00:00	115.01	117	115.01	117	21	EUR	
08/07/2015 00:00	117	120	113	115	307	EUR	
09/07/2015 00:00	114.99	114.99	114.99	114.99	1	EUR	
10/07/2015 00:00	114.99	114.99	114.5	114.5	13	EUR	
13/07/2015 00:00	115	115	112.05	112.5	187	EUR	
14/07/2015 00:00	112.51	112.51	112.51	112.51	1	EUR	
15/07/2015 00:00	115	115	115	115	7	EUR	
16/07/2015 00:00	114.99	114.99	114.99	114.99	1	EUR	
17/07/2015 00:00	114.99	117	114.99	117	1650	EUR	
20/07/2015 00:00	116.99	117	116.99	117	149	EUR	
21/07/2015 00:00	117	117	117	117	2933	EUR	
22/07/2015 00:00	117	117	117	117	1	EUR	
23/07/2015 00:00	117	118.58	117	118	166	EUR	
24/07/2015 00:00	117.99	118	117.99	118	123	EUR	
27/07/2015 00:00	117.99	117.99	117.99	117.99	1	EUR	
28/07/2015 00:00	117.99	117.99	117.99	117.99	41	EUR	
29/07/2015 00:00	118.18	120	118.18	119.9	1204	EUR	
30/07/2015 00:00	119	119	116.6	116.6	212	EUR	
31/07/2015 00:00	118.99	118.99	116.5	118	182	EUR	
03/08/2015 00:00	118.01	118.01	118	118	207	EUR	
04/08/2015 00:00	118.01	118.01	114.99	115	193	EUR	
05/08/2015 00:00	118	118	116	118	250	EUR	
06/08/2015 00:00	118	118	117.9	118	445	EUR	
07/08/2015 00:00	118	118	117.89	118	207	EUR	
10/08/2015 00:00	118	118	118	118	93	EUR	
11/08/2015 00:00	117.99	118	117	117	198	EUR	
12/08/2015 00:00	117	118	116.5	118	236	EUR	
13/08/2015 00:00	118	119	118	119	316	EUR	
14/08/2015 00:00	118	118	117	117.01	66	EUR	
17/08/2015 00:00	119	119	117.02	117.02	274	EUR	
18/08/2015 00:00	118	120.15	117.8	120.1	2399	EUR	
19/08/2015 00:00	123.5	125	123.5	124	135	EUR	
20/08/2015 00:00	124.9	124.9	120	124.9	1018	EUR	
21/08/2015 00:00	120	120.02	120	120	226	EUR	
24/08/2015 00:00	121	121	112.14	117.99	117	EUR	
25/08/2015 00:00	120.75	124.74	120.75	124.74	17	EUR	
26/08/2015 00:00	124	124	115.11	120	106	EUR	
27/08/2015 00:00	122	122	121.73	121.73	14	EUR	
28/08/2015 00:00	121.72	121.72	116.01	119	135	EUR	
31/08/2015 00:00	122.59	122.6	122.59	122.6	18	EUR	
01/09/2015 00:00	122.5	122.5	120	120	110	EUR	
02/09/2015 00:00	119.99	120	119	119	120	EUR	
03/09/2015 00:00	119.51	120	119	120	144	EUR	
04/09/2015 00:00	120	122.48	120	122.48	10146	EUR	
07/09/2015 00:00	122.48	122.6	122.48	122.6	27	EUR	
08/09/2015 00:00	122.61	125	122.61	125	249	EUR	
09/09/2015 00:00	124.94	126	124.94	126	1063	EUR	
10/09/2015 00:00	125.99	125.99	125.99	125.99	1	EUR	
11/09/2015 00:00	126	126.05	125.99	126.05	958	EUR	
14/09/2015 00:00	126.05	129	126.05	129	1595	EUR	
15/09/2015 00:00	128.99	132.22	128.99	132.22	1048	EUR	
16/09/2015 00:00	132	132	131	131	66	EUR	
17/09/2015 00:00	130.99	130.99	119.01	130.24	248	EUR	
18/09/2015 00:00	131	131	121	130.99	48	EUR	
21/09/2015 00:00	130.54	130.55	130.54	130.55	5	EUR	
22/09/2015 00:00	131	131	125.06	129.01	87	EUR	
23/09/2015 00:00	129.01	129.99	126.01	129.99	29	EUR	
24/09/2015 00:00	129.99	129.99	129.99	129.99	1	EUR	
25/09/2015 00:00	129.99	130.5	125	128.99	908	EUR	
28/09/2015 00:00	125	129.72	125	125.01	54	EUR	
29/09/2015 00:00	126.51	126.51	126.51	126.51	1	EUR	
30/09/2015 00:00	126.51	127.01	126.51	127	111	EUR	
01/10/2015 00:00	127.01	127.01	125.01	125.01	449	EUR	
02/10/2015 00:00	127	127.99	127	127	1640	EUR	
05/10/2015 00:00	127	128	127	128	3065	EUR	
06/10/2015 00:00	127	127	124.99	126.56	556	EUR	
07/10/2015 00:00	127	127	123.32	123.32	801	EUR	
08/10/2015 00:00	127	127	126.94	126.94	180	EUR	
09/10/2015 00:00	126.99	127	126.99	127	189	EUR	
12/10/2015 00:00	127	128	127	128	252	EUR	
13/10/2015 00:00	127	127	126	127	241	EUR	
14/10/2015 00:00	127	127	127	127	0	EUR	
16/10/2015 00:00	126	126	126	126	22	EUR	
19/10/2015 00:00	126	126.5	126	126.5	111	EUR	
20/10/2015 00:00	126.5	126.5	126.5	126.5	0	EUR	
22/10/2015 00:00	126.5	127	125	125	375	EUR	
23/10/2015 00:00	126.2	127.5	126.2	127	4224	EUR	
26/10/2015 00:00	127.5	127.7	126.7	127.7	177	EUR	
27/10/2015 00:00	127.7	127.9	127.7	127.9	52	EUR	
28/10/2015 00:00	127.9	127.9	127.9	127.9	62	EUR	
29/10/2015 00:00	127.8	127.8	127.8	127.8	32	EUR	
30/10/2015 00:00	127.8	127.8	127.8	127.8	78	EUR	
02/11/2015 00:00	128	128	122.04	122.6	2098	EUR	
03/11/2015 00:00	126.81	126.81	126.81	126.81	12	EUR	
04/11/2015 00:00	126.97	126.97	126.97	126.97	20	EUR	
05/11/2015 00:00	123.51	124.5	122.17	124.5	75	EUR	
06/11/2015 00:00	126.96	128	126.96	128	125	EUR	
09/11/2015 00:00	128	128	128	128	0	EUR	
11/11/2015 00:00	128.3	128.3	128.3	128.3	6	EUR	
12/11/2015 00:00	128	129	128	129	88	EUR	
13/11/2015 00:00	129.44	129.45	129.44	129.45	72	EUR	
16/11/2015 00:00	127.54	127.54	127.54	127.54	138	EUR	
17/11/2015 00:00	128	128	128	128	25	EUR	
18/11/2015 00:00	128	130	128	130	226	EUR	
19/11/2015 00:00	130	130	129.98	130	468	EUR	
20/11/2015 00:00	130	130	129.98	129.98	395	EUR	
23/11/2015 00:00	131	131	130	130	111	EUR	
24/11/2015 00:00	130.99	131	130.99	131	53	EUR	
25/11/2015 00:00	131	131	131	131	88	EUR	
26/11/2015 00:00	129.01	129.01	129.01	129.01	5	EUR	
27/11/2015 00:00	130.01	131	130	131	90	EUR	
30/11/2015 00:00	131	131	130.99	130.99	285	EUR	
01/12/2015 00:00	129	129	129	129	0	EUR	
03/12/2015 00:00	128.27	128.27	128.27	128.27	0	EUR	
07/12/2015 00:00	130.99	130.99	130.99	130.99	52	EUR	
08/12/2015 00:00	131	131	130	130	82	EUR	
09/12/2015 00:00	131	131	130	130	26	EUR	
10/12/2015 00:00	128.02	128.02	128.02	128.02	5	EUR	
11/12/2015 00:00	128.29	131	128	130.99	370	EUR	
14/12/2015 00:00	129.98	129.98	129.98	129.98	9	EUR	
15/12/2015 00:00	129.97	129.97	128	128	50	EUR	
16/12/2015 00:00	129	129	129	129	76	EUR	
17/12/2015 00:00	129	129	129	129	0	EUR	
21/12/2015 00:00	124.73	124.73	124.73	124.73	23	EUR	
22/12/2015 00:00	125.11	127	124.98	125.55	157	EUR	
23/12/2015 00:00	128	128	128	128	5	EUR	
24/12/2015 00:00	124.74	124.74	124.74	124.74	15	EUR	
28/12/2015 00:00	127.5	127.5	127.5	127.5	0	EUR	
30/12/2015 00:00	127.5	127.52	127.5	127.52	6	EUR	
31/12/2015 00:00	127.52	129.5	127.52	128.61	170	EUR	
04/01/2016 00:00	124.73	124.98	124.73	124.98	37	EUR	
05/01/2016 00:00	126	126	126	126	0	EUR	
07/01/2016 00:00	126.02	130	126.02	130	205	EUR	
08/01/2016 00:00	129	129	129	129	70	EUR	
11/01/2016 00:00	129	129	129	129	25	EUR	
12/01/2016 00:00	129	130.9	129	129	461	EUR	
13/01/2016 00:00	131	131	131	131	0	EUR	
15/01/2016 00:00	137	137	132	137	52	EUR	
18/01/2016 00:00	133	137	125.13	137	919	EUR	
19/01/2016 00:00	130	137	130	136	78	EUR	
20/01/2016 00:00	136	136	136	136	0	EUR	
22/01/2016 00:00	130	135	126.06	133.99	39	EUR	
25/01/2016 00:00	131	135	130	134.9	55	EUR	
26/01/2016 00:00	136.74	136.75	134	134	57	EUR	
27/01/2016 00:00	130.13	136.99	127.51	127.51	63	EUR	
28/01/2016 00:00	134.79	134.79	134.79	134.79	0	EUR	
01/02/2016 00:00	133.1	133.1	133.1	133.1	0	EUR	
03/02/2016 00:00	134	134	134	134	3	EUR	
04/02/2016 00:00	134.99	134.99	133.5	133.51	1103	EUR	
05/02/2016 00:00	136.49	137	133.3	133.3	94	EUR	
08/02/2016 00:00	137	143.85	133.1	143.85	126	EUR	
09/02/2016 00:00	143.85	143.85	133.01	139	56	EUR	
10/02/2016 00:00	140	140	138.8	138.8	42	EUR	
11/02/2016 00:00	133	133	133	133	0	EUR	
15/02/2016 00:00	133	133	133	133	85	EUR	
16/02/2016 00:00	133	133	133	133	8	EUR	
17/02/2016 00:00	133	133	133	133	28	EUR	
18/02/2016 00:00	132	133	132	133	69	EUR	
19/02/2016 00:00	139.78	139.78	138.87	138.87	12	EUR	
22/02/2016 00:00	138.87	138.87	138.87	138.87	2	EUR	
23/02/2016 00:00	138.87	138.87	138.87	138.87	0	EUR	
25/02/2016 00:00	136.78	136.79	136.78	136.79	67	EUR	
26/02/2016 00:00	132.01	136.52	130.2	136.52	75	EUR	
02/03/2016 00:00	136.2	136.2	131	131	59	EUR	
03/03/2016 00:00	133.5	133.5	133.5	133.5	15	EUR	
04/03/2016 00:00	131.01	131.01	131	131	43	EUR	
07/03/2016 00:00	131.01	131.02	131.01	131.02	124	EUR	
08/03/2016 00:00	131.02	131.02	130.6	130.6	36	EUR	
09/03/2016 00:00	131.02	131.02	131.02	131.02	81	EUR	
10/03/2016 00:00	131.02	131.02	131	131	12	EUR	
11/03/2016 00:00	131.02	131.02	131	131.02	37	EUR	
14/03/2016 00:00	131.02	131.02	130.6	130.6	40	EUR	
15/03/2016 00:00	131.02	131.02	131.02	131.02	0	EUR	
17/03/2016 00:00	135.75	135.75	135.75	135.75	0	EUR	
21/03/2016 00:00	125.25	130.01	125.25	130	54	EUR	
22/03/2016 00:00	130	130	130	130	0	EUR	
30/03/2016 00:00	130.01	130.01	130	130	20	EUR	
31/03/2016 00:00	129.21	134.89	129.2	131	81	EUR	
01/04/2016 00:00	131	131	129.22	129.22	31	EUR	
04/04/2016 00:00	129.1	129.1	127.01	127.01	18	EUR	
05/04/2016 00:00	127.01	127.01	127.01	127.01	0	EUR	
07/04/2016 00:00	128.99	129	128.99	129	141	EUR	
08/04/2016 00:00	129	129	129	129	48	EUR	
13/04/2016 00:00	129.8	129.8	129.8	129.8	0	EUR	
15/04/2016 00:00	129.2	129.8	126.21	129.8	34	EUR	
18/04/2016 00:00	129.49	129.5	129.49	129.5	104	EUR	
19/04/2016 00:00	129.5	129.5	129.5	129.5	0	EUR	
21/04/2016 00:00	127.5	127.5	127.5	127.5	0	EUR	
25/04/2016 00:00	128.99	129	128	128	145	EUR	
26/04/2016 00:00	128.01	128.01	128.01	128.01	5	EUR	
27/04/2016 00:00	129	129	127.61	127.61	1024	EUR	
28/04/2016 00:00	129	129.01	129	129	290	EUR	
29/04/2016 00:00	128.8	128.8	128.8	128.8	2	EUR	
02/05/2016 00:00	134	134	134	134	2	EUR	
03/05/2016 00:00	130.6	131.5	130.6	131.5	45	EUR	
04/05/2016 00:00	133.98	133.98	131.51	131.51	44	EUR	
05/05/2016 00:00	131.5	131.5	131.5	131.5	14	EUR	
06/05/2016 00:00	131.5	131.5	131.5	131.5	222	EUR	
09/05/2016 00:00	133.97	133.97	133.97	133.97	10	EUR	
10/05/2016 00:00	133.98	133.98	133.98	133.98	5	EUR	
11/05/2016 00:00	133	133	131.75	131.75	43	EUR	
12/05/2016 00:00	132.59	132.6	132.59	132.6	68	EUR	
13/05/2016 00:00	131.51	131.51	131.5	131.5	33	EUR	
17/05/2016 00:00	131.01	131.01	131	131	78	EUR	
18/05/2016 00:00	130.51	130.51	130.51	130.51	33	EUR	
19/05/2016 00:00	132.59	132.6	132.59	132.6	32	EUR	
20/05/2016 00:00	132.59	134	132.59	134	77	EUR	
23/05/2016 00:00	134	134	131.11	131.11	25	EUR	
24/05/2016 00:00	135.49	135.75	135.49	135.75	34	EUR	
25/05/2016 00:00	139.99	140	132.51	132.6	97	EUR	
26/05/2016 00:00	132.81	132.81	132.81	132.81	37	EUR	
27/05/2016 00:00	136	136	136	136	30	EUR	
31/05/2016 00:00	133.15	139.99	133.15	139.99	18	EUR	
01/06/2016 00:00	139.89	139.89	139.89	139.89	20	EUR	
02/06/2016 00:00	135.09	137	134.14	136.23	169	EUR	
03/06/2016 00:00	136	136	136	136	54	EUR	
06/06/2016 00:00	137.99	137.99	137.99	137.99	18	EUR	
07/06/2016 00:00	135.8	137.1	135.5	135.5	214	EUR	
08/06/2016 00:00	135.52	137	135.52	137	30	EUR	
09/06/2016 00:00	137	142.75	137	140	60	EUR	
10/06/2016 00:00	138	139	134.64	136	642	EUR	
13/06/2016 00:00	137.62	139.96	136.5	137	1925	EUR	
14/06/2016 00:00	137.51	137.68	137.5	137.5	300	EUR	
15/06/2016 00:00	138.01	138.01	138.01	138.01	14	EUR	
16/06/2016 00:00	138.01	138.01	137.52	137.52	80	EUR	
17/06/2016 00:00	137.54	148.99	137.5	145.1	378	EUR	
20/06/2016 00:00	150	150	150	150	0	EUR	
22/06/2016 00:00	145.01	145.01	145	145	79	EUR	
23/06/2016 00:00	145	145	140.23	140.23	37	EUR	
24/06/2016 00:00	136.56	140	135	140	498	EUR	
27/06/2016 00:00	134.01	139.35	134.01	136	122	EUR	
28/06/2016 00:00	137.1	137.1	137.1	137.1	56	EUR	
29/06/2016 00:00	138.01	138.01	138.01	138.01	0	EUR	
04/07/2016 00:00	147.85	147.85	147.85	147.85	5	EUR	
05/07/2016 00:00	152.99	152.99	152.99	152.99	0	EUR	
08/07/2016 00:00	151.99	153	151.99	153	392	EUR	
11/07/2016 00:00	153	153	144.01	144.05	93	EUR	
12/07/2016 00:00	146	150.94	146	150.94	19	EUR	
13/07/2016 00:00	145.01	148.45	140	148.45	120	EUR	
14/07/2016 00:00	148.45	148.45	146.63	146.63	47	EUR	
15/07/2016 00:00	149.99	149.99	149.99	149.99	5	EUR	
18/07/2016 00:00	149.98	149.98	142.7	143.9	35	EUR	
19/07/2016 00:00	151	151	151	151	0	EUR	
22/07/2016 00:00	150.99	155	150.99	155	200	EUR	
25/07/2016 00:00	155	155	154.98	154.98	25	EUR	
26/07/2016 00:00	154	154	154	154	19	EUR	
27/07/2016 00:00	154	154	154	154	0	EUR	
29/07/2016 00:00	153.99	154	153.99	154	189	EUR	
01/08/2016 00:00	153	153	153	153	6	EUR	
02/08/2016 00:00	147	147	147	147	34	EUR	
03/08/2016 00:00	150	150	150	150	212	EUR	
04/08/2016 00:00	150	150	150	150	6	EUR	
05/08/2016 00:00	150	150	150	150	5	EUR	
08/08/2016 00:00	150	151.01	150	151	17	EUR	
09/08/2016 00:00	153	153	153	153	0	EUR	
11/08/2016 00:00	150	150	148.03	148.03	19	EUR	
12/08/2016 00:00	152	152	150.8	150.8	13	EUR	
17/08/2016 00:00	151	151	151	151	13	EUR	
18/08/2016 00:00	149.01	149.01	148.09	148.09	52	EUR	
19/08/2016 00:00	147.19	147.19	147.19	147.19	2	EUR	
22/08/2016 00:00	150	150	147	147	51	EUR	
23/08/2016 00:00	149.01	155	149.01	155	54	EUR	
24/08/2016 00:00	150.01	150.01	150	150	80	EUR	
25/08/2016 00:00	150	155	149	149	171	EUR	
26/08/2016 00:00	154.99	154.99	154.99	154.99	12	EUR	
30/08/2016 00:00	153	153.01	153	153	36	EUR	
31/08/2016 00:00	154.99	154.99	154.99	154.99	0	EUR	
02/09/2016 00:00	153	155	153	155	197	EUR	
07/09/2016 00:00	155	155	155	155	57	EUR	
08/09/2016 00:00	154.01	155	154	155	62	EUR	
09/09/2016 00:00	152.02	152.02	151.28	151.28	27	EUR	
12/09/2016 00:00	150.58	150.58	150.58	150.58	0	EUR	
15/09/2016 00:00	150.56	150.56	150.56	150.56	8	EUR	
16/09/2016 00:00	155	155	155	155	20	EUR	
20/09/2016 00:00	155	155	155	155	0	EUR	
22/09/2016 00:00	150.04	155	150.04	155	72	EUR	
23/09/2016 00:00	153.27	153.27	153.27	153.27	15	EUR	
27/09/2016 00:00	155	155	155	155	50	EUR	
28/09/2016 00:00	155	155	155	155	3	EUR	
29/09/2016 00:00	155	155	155	155	1357	EUR	
30/09/2016 00:00	154	154	154	154	24	EUR	
03/10/2016 00:00	155.01	155.01	151.5	151.5	207	EUR	
04/10/2016 00:00	155	155	152.51	152.51	21	EUR	
05/10/2016 00:00	155	155	155	155	250	EUR	
06/10/2016 00:00	155	155	155	155	0	EUR	
10/10/2016 00:00	151.51	155	151.51	155	93	EUR	
11/10/2016 00:00	155	156	151.5	156	1634	EUR	
12/10/2016 00:00	156	156	156	156	0	EUR	
14/10/2016 00:00	155	155	155	155	38	EUR	
18/10/2016 00:00	156	156	156	156	150	EUR	
19/10/2016 00:00	152.55	153.61	152.55	153.61	106	EUR	
20/10/2016 00:00	153.81	156	153.5	153.94	87	EUR	
21/10/2016 00:00	153.51	153.51	153.51	153.51	2	EUR	
24/10/2016 00:00	153.21	153.21	153.21	153.21	0	EUR	
27/10/2016 00:00	154	154	154	154	0	EUR	
31/10/2016 00:00	154.99	156.01	154.99	156	206	EUR	
01/11/2016 00:00	156	156	156	156	4	EUR	
02/11/2016 00:00	156	156	156	156	0	EUR	
04/11/2016 00:00	157.64	165.01	157.64	158	94	EUR	
07/11/2016 00:00	160	160	160	160	31	EUR	
08/11/2016 00:00	164.99	165	150	154	355	EUR	
09/11/2016 00:00	155.06	155.06	155.06	155.06	0	EUR	
14/11/2016 00:00	164.84	164.84	151.83	151.83	32	EUR	
15/11/2016 00:00	155.01	155.01	155.01	155.01	10	EUR	
16/11/2016 00:00	160	160.01	160	160	25	EUR	
17/11/2016 00:00	155.32	155.32	155.32	155.32	13	EUR	
18/11/2016 00:00	155.32	164.27	155.32	162	97	EUR	
21/11/2016 00:00	162	165	162	165	142	EUR	
22/11/2016 00:00	165	165	160.01	161.13	62	EUR	
23/11/2016 00:00	165	165	165	165	29	EUR	
24/11/2016 00:00	165	165	165	165	3	EUR	
25/11/2016 00:00	165	165	163	163	96	EUR	
28/11/2016 00:00	160.11	163	160.11	163	38	EUR	
29/11/2016 00:00	160.51	160.51	160	160	53	EUR	
30/11/2016 00:00	160.57	160.57	160.57	160.57	0	EUR	
02/12/2016 00:00	160.17	160.17	160	160	3553	EUR	
05/12/2016 00:00	162.01	173.5	162	173.5	52	EUR	
06/12/2016 00:00	167.24	167.24	167.24	167.24	62	EUR	
07/12/2016 00:00	175	175	167.01	175	114	EUR	
08/12/2016 00:00	174.99	174.99	163.21	173	92	EUR	
09/12/2016 00:00	164.55	174.98	163.51	163.51	79	EUR	
12/12/2016 00:00	163.52	163.52	163.52	163.52	11	EUR	
13/12/2016 00:00	164.16	164.16	162.5	162.75	213	EUR	
14/12/2016 00:00	162.61	164.9	162.61	164.9	60	EUR	
15/12/2016 00:00	164.96	168.98	162.63	162.63	1529	EUR	
16/12/2016 00:00	168.98	169	168.98	169	125	EUR	
19/12/2016 00:00	164.56	164.56	162.4	162.4	136	EUR	
20/12/2016 00:00	164.99	164.99	164.99	164.99	13	EUR	
21/12/2016 00:00	162.65	162.65	162.65	162.65	0	EUR	
23/12/2016 00:00	163	163	162.61	162.61	3544	EUR	
27/12/2016 00:00	164	165	164	165	80	EUR	
28/12/2016 00:00	164.99	165	164.99	165	334	EUR	
29/12/2016 00:00	165	165	165	165	364	EUR	
30/12/2016 00:00	165	165	163.31	165	334	EUR	
02/01/2017 00:00	165	165	164	165	248	EUR	
03/01/2017 00:00	165	165	164.5	165	172	EUR	
04/01/2017 00:00	165	166	164.01	165.6	144	EUR	
05/01/2017 00:00	165	166	164.21	164.99	105	EUR	
06/01/2017 00:00	165	165	164.9	165	274	EUR	
09/01/2017 00:00	165	165	164.9	165	212	EUR	
10/01/2017 00:00	165	165	165	165	20	EUR	
11/01/2017 00:00	165	165	165	165	53	EUR	
12/01/2017 00:00	165	165	165	165	6	EUR	
13/01/2017 00:00	165	165	164.1	164.5	1216	EUR	
16/01/2017 00:00	164.5	165	164.1	165	29	EUR	
17/01/2017 00:00	165	165	165	165	20	EUR	
18/01/2017 00:00	165	165	165	165	9	EUR	
19/01/2017 00:00	165	165	165	165	65	EUR	
20/01/2017 00:00	165	169	164.1	169	420	EUR	
23/01/2017 00:00	169	169	166	168.17	643	EUR	
24/01/2017 00:00	169.94	169.94	167.37	167.37	20	EUR	
25/01/2017 00:00	169	169.01	167	167	273	EUR	
26/01/2017 00:00	166	166	165.05	165.05	161	EUR	
27/01/2017 00:00	166	166	165	165	236	EUR	
30/01/2017 00:00	165.11	165.11	164.52	164.52	59	EUR	
31/01/2017 00:00	164.52	166	164.52	166	31	EUR	
01/02/2017 00:00	166	166.99	166	166.99	28	EUR	
02/02/2017 00:00	167	167	165	165	858	EUR	
03/02/2017 00:00	164.52	165	164.52	165	26	EUR	
06/02/2017 00:00	165	165	164.52	164.52	89	EUR	
07/02/2017 00:00	164.55	164.99	164.2	164.99	24	EUR	
08/02/2017 00:00	164.9	164.9	164.88	164.88	14	EUR	
09/02/2017 00:00	164.99	165	164.99	165	18	EUR	
10/02/2017 00:00	164.9	164.9	163.8	163.8	133	EUR	
13/02/2017 00:00	163	164.99	163	164.99	2792	EUR	
14/02/2017 00:00	164.99	170.01	164.99	170	5754	EUR	
15/02/2017 00:00	174.94	174.94	173.89	173.89	18	EUR	
16/02/2017 00:00	171	171	171	171	4	EUR	
17/02/2017 00:00	170	173.99	169.99	173.99	69	EUR	
20/02/2017 00:00	173.99	175	173.99	175	1316	EUR	
21/02/2017 00:00	170.53	176	170.53	176	138	EUR	
22/02/2017 00:00	176	176	176	176	150	EUR	
23/02/2017 00:00	174.99	176	171.26	176	164	EUR	
24/02/2017 00:00	174	175.9	170.6	175.9	73	EUR	
27/02/2017 00:00	170.61	175.9	170.61	175.9	165	EUR	
28/02/2017 00:00	170.68	170.68	170.68	170.68	0	EUR	
02/03/2017 00:00	170.7	170.7	170.7	170.7	0	EUR	
06/03/2017 00:00	173	173	173	173	0	EUR	
08/03/2017 00:00	175	175	174.7	175	1030	EUR	
09/03/2017 00:00	175	175	175	175	30	EUR	
10/03/2017 00:00	174	174.41	170.01	174.41	123	EUR	
14/03/2017 00:00	172	172	171.01	171.01	17	EUR	
15/03/2017 00:00	171.35	171.53	171	171	83	EUR	
16/03/2017 00:00	172.49	172.49	171	171	116	EUR	
17/03/2017 00:00	170.51	170.51	170.01	170.01	120	EUR	
20/03/2017 00:00	173	173	173	173	0	EUR	
23/03/2017 00:00	174.45	174.45	174.45	174.45	0	EUR	
