date	ouv	haut	bas	clot	vol	devise	
25/07/2018 00:00	72.81	73.44	72.58	73.41	2635911	EUR	
26/07/2018 00:00	73.7	74.18	73.46	74.05	2611161	EUR	
27/07/2018 00:00	74.04	74.67	73.96	74.57	1847134	EUR	
30/07/2018 00:00	74.21	74.6	73.68	73.95	1811079	EUR	
31/07/2018 00:00	72.48	74.66	72	74.37	3146417	EUR	
01/08/2018 00:00	74.51	76.17	74.45	75.6	3207616	EUR	
02/08/2018 00:00	75.48	75.48	74.28	74.5	3076525	EUR	
03/08/2018 00:00	74.57	74.68	73.59	74.1	2204770	EUR	
06/08/2018 00:00	74.02	74.41	73.53	73.72	1770432	EUR	
07/08/2018 00:00	73.5	74.49	73.42	73.96	2120617	EUR	
08/08/2018 00:00	73.33	74.03	73.13	73.95	1944404	EUR	
09/08/2018 00:00	73.4	73.65	72.91	73.16	1975625	EUR	
10/08/2018 00:00	73.2	74.65	72.97	73.71	3862937	EUR	
13/08/2018 00:00	73.15	74.03	72.82	73.49	2801920	EUR	
14/08/2018 00:00	73.56	73.87	72.66	72.85	2493761	EUR	
15/08/2018 00:00	72.85	73.45	71.85	72.16	2979923	EUR	
16/08/2018 00:00	71.69	72.66	71.32	72.66	2589496	EUR	
17/08/2018 00:00	72.73	73.55	72.7	73.3	2172549	EUR	
20/08/2018 00:00	73.59	73.85	73.22	73.43	1615321	EUR	
21/08/2018 00:00	73.3	74.98	73.28	74.37	2542337	EUR	
22/08/2018 00:00	74.18	75.06	74.06	74.82	1964630	EUR	
23/08/2018 00:00	74.58	75.29	74.55	74.72	1678796	EUR	
24/08/2018 00:00	74.72	74.9	74.47	74.7	1493583	EUR	
27/08/2018 00:00	75.06	75.19	74.37	74.62	1166754	EUR	
28/08/2018 00:00	74.5	74.61	73.96	74.34	1766621	EUR	
29/08/2018 00:00	74.54	75.03	74.46	74.94	1399557	EUR	
30/08/2018 00:00	74.98	74.98	74.16	74.58	1841574	EUR	
31/08/2018 00:00	74.61	74.69	73.69	73.69	553017	EUR	
03/09/2018 00:00	73.8	74.76	73.75	74.5	1491738	EUR	
04/09/2018 00:00	74.5	74.57	73.06	73.15	2153721	EUR	
05/09/2018 00:00	73.08	73.16	72.35	72.55	2651424	EUR	
06/09/2018 00:00	72.35	72.82	72.25	72.27	2054967	EUR	
07/09/2018 00:00	72.3	72.97	72.23	72.97	1969922	EUR	
10/09/2018 00:00	73.7	74	73.33	73.49	2246871	EUR	
11/09/2018 00:00	73.59	73.59	72.95	73.27	1784840	EUR	
12/09/2018 00:00	73.5	74.71	73.45	74.61	2448167	EUR	
13/09/2018 00:00	74.75	75.83	74.7	75.68	2637058	EUR	
14/09/2018 00:00	75.74	75.82	75.19	75.63	1903607	EUR	
17/09/2018 00:00	75.31	75.54	74.95	75.1	1565995	EUR	
18/09/2018 00:00	75	75.54	74.42	74.9	2037721	EUR	
19/09/2018 00:00	75.01	75.37	74.5	75.12	1768791	EUR	
20/09/2018 00:00	74.97	75.33	74.24	74.67	2747102	EUR	
21/09/2018 00:00	74.72	75.25	73.97	74.5	7333184	EUR	
24/09/2018 00:00	74.24	74.57	73.62	73.86	2121383	EUR	
25/09/2018 00:00	73.89	74.65	73.86	74.61	2031792	EUR	
26/09/2018 00:00	74.52	75.49	74.51	75.49	2366578	EUR	
27/09/2018 00:00	75.45	77.32	75.45	76.91	2944172	EUR	
28/09/2018 00:00	76.88	77.25	76.31	76.56	2908608	EUR	
01/10/2018 00:00	76.69	77.98	76.5	77.54	2485692	EUR	
02/10/2018 00:00	77.1	77.22	76.42	76.93	1895744	EUR	
03/10/2018 00:00	77.24	77.78	76.59	77.34	1784146	EUR	
04/10/2018 00:00	77.04	77.37	76	76.35	2539825	EUR	
05/10/2018 00:00	76.47	76.89	75.95	76.03	1832962	EUR	
08/10/2018 00:00	75.57	75.93	75.2	75.53	1634432	EUR	
09/10/2018 00:00	75.54	75.76	74.73	75.59	1990218	EUR	
10/10/2018 00:00	75.71	77.3	75.68	76.64	2765368	EUR	
11/10/2018 00:00	75.99	76.78	75.27	75.42	4219307	EUR	
12/10/2018 00:00	76	76.05	73.64	73.78	2997716	EUR	
15/10/2018 00:00	74	75.5	73.86	75.29	2701853	EUR	
16/10/2018 00:00	75.25	76.41	75.23	76.41	2543393	EUR	
17/10/2018 00:00	76.45	77.37	76.45	77.21	2491882	EUR	
18/10/2018 00:00	77.24	78.41	77.24	77.8	2468040	EUR	
19/10/2018 00:00	78.15	78.44	77.28	77.8	3564556	EUR	
22/10/2018 00:00	78	78.19	77.3	77.3	1954729	EUR	
23/10/2018 00:00	76.53	77.52	76.43	77.02	2438866	EUR	
24/10/2018 00:00	77.03	77.55	76.04	76.12	2582830	EUR	
25/10/2018 00:00	75.39	75.65	73.85	75.65	3894463	EUR	
26/10/2018 00:00	75.3	75.64	73.68	74.46	3780582	EUR	
29/10/2018 00:00	73.95	75.67	73.84	74.43	2223576	EUR	
30/10/2018 00:00	74.62	75.85	74.38	75.57	2899033	EUR	
31/10/2018 00:00	79.31	80.06	77.8	78.84	6974257	EUR	
01/11/2018 00:00	79.5	79.84	78.18	79.01	2789275	EUR	
02/11/2018 00:00	79.36	79.4	77.73	77.75	2584312	EUR	
05/11/2018 00:00	77.75	79.13	77.71	78.64	2294328	EUR	
06/11/2018 00:00	78.59	78.59	77.44	77.6	2090756	EUR	
07/11/2018 00:00	77.66	79	77.66	78.68	2492783	EUR	
08/11/2018 00:00	78.69	79.37	78.49	79.31	2032803	EUR	
09/11/2018 00:00	78.95	80.41	78.86	80.2	3037599	EUR	
12/11/2018 00:00	80.3	80.44	79.32	79.59	1963356	EUR	
13/11/2018 00:00	79.81	80.21	79.59	80.21	2306389	EUR	
14/11/2018 00:00	79.62	80.29	79.14	79.48	2057918	EUR	
15/11/2018 00:00	79.89	80.11	77.48	78.23	2789244	EUR	
16/11/2018 00:00	78.39	79.5	78.27	79.23	3059629	EUR	
19/11/2018 00:00	79.11	79.86	78.35	78.55	1991586	EUR	
20/11/2018 00:00	78.1	79.1	78.05	78.94	2683756	EUR	
21/11/2018 00:00	78.99	79.52	78.16	78.49	2440550	EUR	
22/11/2018 00:00	78.21	78.81	77.94	78.29	1364603	EUR	
23/11/2018 00:00	78.28	79.63	78.02	79.48	1695492	EUR	
26/11/2018 00:00	79.79	79.97	78.52	78.9	2206883	EUR	
27/11/2018 00:00	78.54	79.26	78.23	78.54	1825045	EUR	
28/11/2018 00:00	79.13	79.77	78.82	79.28	2012088	EUR	
29/11/2018 00:00	79.79	79.99	78.8	78.87	2103896	EUR	
30/11/2018 00:00	78.85	80	78.82	79.81	3506262	EUR	
03/12/2018 00:00	79.49	80.1	77.87	78.22	2973138	EUR	
04/12/2018 00:00	78.25	79.71	77.99	79.09	2186534	EUR	
05/12/2018 00:00	78.57	78.82	77.85	78.07	1989208	EUR	
06/12/2018 00:00	77.57	77.79	75.04	75.62	3416670	EUR	
07/12/2018 00:00	75.98	77.86	75.87	76.55	3122152	EUR	
10/12/2018 00:00	76.84	77.85	76.73	76.91	2832186	EUR	
11/12/2018 00:00	79.49	79.5	77.94	78.09	2815967	EUR	
12/12/2018 00:00	78.23	80.17	77.98	79.79	3138234	EUR	
13/12/2018 00:00	80.1	80.12	78.08	78.6	3543604	EUR	
14/12/2018 00:00	78.2	78.82	77.73	78.24	2680637	EUR	
17/12/2018 00:00	77.86	78.24	77.01	77.42	2309919	EUR	
18/12/2018 00:00	77.01	77.18	76.05	76.21	2574330	EUR	
19/12/2018 00:00	76.54	77.21	76.31	76.81	2910194	EUR	
20/12/2018 00:00	75.99	76.45	75.48	76.15	3016900	EUR	
21/12/2018 00:00	75.33	75.68	73.85	75.68	5530148	EUR	
24/12/2018 00:00	75.05	75.13	74.24	74.24	609704	EUR	
27/12/2018 00:00	74.5	75.21	72.92	73.76	2308799	EUR	
28/12/2018 00:00	74.14	75.49	74.14	75.22	1798526	EUR	
31/12/2018 00:00	75.48	75.77	74.97	75.66	614547	EUR	
02/01/2019 00:00	73.42	75.6	72.75	75.4	2077394	EUR	
03/01/2019 00:00	74.65	75.48	74.26	74.66	2031883	EUR	
04/01/2019 00:00	75.08	75.68	74.32	75.34	2350785	EUR	
07/01/2019 00:00	74.83	75	73.48	73.84	2304714	EUR	
08/01/2019 00:00	74.17	75.02	74.07	74.42	1854842	EUR	
09/01/2019 00:00	74.78	75.35	74.03	74.13	2477604	EUR	
10/01/2019 00:00	73.89	74.38	73.57	74.18	1656295	EUR	
11/01/2019 00:00	74.3	74.9	73.87	74.13	1665550	EUR	
14/01/2019 00:00	73.33	73.61	72.86	72.9	1934999	EUR	
15/01/2019 00:00	73.32	74.19	72.75	74.19	2383212	EUR	
16/01/2019 00:00	74.44	74.79	74.06	74.31	1712799	EUR	
17/01/2019 00:00	73.78	74.19	73.49	73.71	1760677	EUR	
18/01/2019 00:00	74.12	74.12	72.62	72.92	3678787	EUR	
21/01/2019 00:00	72.76	73.52	72.59	73.09	1365203	EUR	
22/01/2019 00:00	72.86	73.2	72.66	73.16	2330258	EUR	
23/01/2019 00:00	73.21	73.97	72.99	72.99	2604333	EUR	
24/01/2019 00:00	73.17	73.47	72.85	72.97	1842695	EUR	
25/01/2019 00:00	72.93	73.54	72.66	73.28	1737756	EUR	
28/01/2019 00:00	73.17	73.57	72.9	73.32	1866008	EUR	
29/01/2019 00:00	73.54	74.85	73.44	74.61	2116874	EUR	
30/01/2019 00:00	74.58	74.75	73.97	74.66	2194606	EUR	
31/01/2019 00:00	75.03	75.82	74.81	75.82	3321624	EUR	
01/02/2019 00:00	76.19	76.23	74.89	75.4	2324746	EUR	
04/02/2019 00:00	75.7	76.06	75.21	76.06	1547305	EUR	
05/02/2019 00:00	75.99	76.84	75.76	76.84	2431383	EUR	
06/02/2019 00:00	76.15	76.44	75.63	76.04	1905175	EUR	
07/02/2019 00:00	75.45	77.4	74.6	74.83	3224335	EUR	
08/02/2019 00:00	74.73	75.92	74.73	75.26	2480430	EUR	
11/02/2019 00:00	75.37	75.9	74.93	75.34	1792199	EUR	
12/02/2019 00:00	75.72	75.94	75.14	75.53	1780564	EUR	
13/02/2019 00:00	75.27	75.37	73.85	73.88	2941715	EUR	
14/02/2019 00:00	73.59	74.13	72.08	73.39	3769911	EUR	
15/02/2019 00:00	73.57	75.38	73.57	75.24	2966322	EUR	
18/02/2019 00:00	75.08	75.44	74.31	75.39	1435243	EUR	
19/02/2019 00:00	75.1	75.76	74.67	74.67	1653767	EUR	
20/02/2019 00:00	74.66	74.75	74.15	74.2	1923365	EUR	
21/02/2019 00:00	74.27	74.28	72.95	73.1	2443884	EUR	
22/02/2019 00:00	72.99	73.03	72.33	72.57	2222303	EUR	
25/02/2019 00:00	72.56	72.89	72.22	72.74	1900353	EUR	
26/02/2019 00:00	72.5	73.02	72.29	72.74	2151984	EUR	
27/02/2019 00:00	72.95	73.33	72.26	72.73	2074918	EUR	
28/02/2019 00:00	72.54	73.64	72.44	73.5	3102965	EUR	
01/03/2019 00:00	73.58	74.15	73.33	74	2527189	EUR	
04/03/2019 00:00	74.58	75.49	74.3	75.03	1982860	EUR	
05/03/2019 00:00	75.39	76.43	75.35	76.43	2841417	EUR	
06/03/2019 00:00	76.5	77.23	76.33	76.58	2463486	EUR	
07/03/2019 00:00	76.78	76.89	76.35	76.64	2711349	EUR	
08/03/2019 00:00	76.86	77.91	76.78	76.78	2690333	EUR	
11/03/2019 00:00	76.81	77.08	76.35	76.96	2163681	EUR	
12/03/2019 00:00	77.57	77.62	76.89	77.4	2211420	EUR	
13/03/2019 00:00	77.13	77.8	77.1	77.8	2046485	EUR	
14/03/2019 00:00	78	78.81	77.77	78.35	2237810	EUR	
15/03/2019 00:00	78.63	79.55	78.44	79.55	6378573	EUR	
18/03/2019 00:00	79.5	79.52	78.92	79.22	1801163	EUR	
19/03/2019 00:00	79	79.55	78.89	79.55	2030858	EUR	
20/03/2019 00:00	79.4	79.83	79.26	79.4	2275738	EUR	
21/03/2019 00:00	78.92	79.85	78.66	79.74	1475153	EUR	
22/03/2019 00:00	79.89	80.28	78.31	78.31	2361535	EUR	
25/03/2019 00:00	78.29	78.74	77.2	77.96	1790866	EUR	
26/03/2019 00:00	77.76	78.76	77.51	78.33	1696707	EUR	
27/03/2019 00:00	78.03	78.25	77.27	77.69	2089391	EUR	
28/03/2019 00:00	78.02	79.06	77.98	78.71	2145276	EUR	
29/03/2019 00:00	78.78	78.86	78.05	78.74	2255101	EUR	
01/04/2019 00:00	78.81	79.8	78.7	78.85	1479987	EUR	
02/04/2019 00:00	78.67	79.48	78.55	79.24	1338208	EUR	
03/04/2019 00:00	79.3	79.48	77.9	78.71	2392620	EUR	
04/04/2019 00:00	78.31	78.9	78.3	78.57	1766298	EUR	
05/04/2019 00:00	78.9	78.95	78.2	78.49	2090325	EUR	
08/04/2019 00:00	78.73	79.17	78.16	78.49	1257856	EUR	
09/04/2019 00:00	78.1	78.82	77.91	78.25	1517939	EUR	
10/04/2019 00:00	78.51	78.73	77.96	77.96	2209285	EUR	
11/04/2019 00:00	77.93	77.96	76.95	77.14	2242933	EUR	
12/04/2019 00:00	76.25	76.79	75.4	75.4	3797244	EUR	
15/04/2019 00:00	75.16	75.49	74.8	75	1959473	EUR	
16/04/2019 00:00	75.31	75.53	74.8	75.1	1788255	EUR	
17/04/2019 00:00	74.35	74.49	72.87	73.06	3749712	EUR	
18/04/2019 00:00	72.5	73.83	72.5	72.87	4515930	EUR	
23/04/2019 00:00	73.05	74.5	72.88	74.17	2679248	EUR	
24/04/2019 00:00	74.47	74.83	74.03	74.34	2115439	EUR	
25/04/2019 00:00	74.66	74.74	73.6	73.62	2393190	EUR	
26/04/2019 00:00	75.5	76.85	75.07	76.2	3618787	EUR	
29/04/2019 00:00	76.94	77.73	75.81	77.49	2989600	EUR	
30/04/2019 00:00	77.25	77.75	76.88	77.49	2950519	EUR	
02/05/2019 00:00	78.24	78.41	77.03	77.03	2397975	EUR	
03/05/2019 00:00	77.8	78.07	77.37	77.62	2015737	EUR	
06/05/2019 00:00	76.82	76.9	75.79	76.71	2930471	EUR	
07/05/2019 00:00	76.87	77.42	76.04	76.23	2512641	EUR	
08/05/2019 00:00	76.26	76.74	75.38	76.33	2864467	EUR	
09/05/2019 00:00	73	73.96	73	73.38	2900616	EUR	
10/05/2019 00:00	73.75	73.95	72.7	72.72	2159115	EUR	
13/05/2019 00:00	72.7	73.04	72.19	72.96	2010481	EUR	
14/05/2019 00:00	73.24	73.65	73.01	73.4	1966009	EUR	
15/05/2019 00:00	73.3	73.9	72.75	73.82	2088285	EUR	
16/05/2019 00:00	73.8	75.17	73.59	75.04	2590901	EUR	
17/05/2019 00:00	74.71	75.26	74.37	75.23	2713268	EUR	
20/05/2019 00:00	75	75.1	73.88	74.34	1796302	EUR	
21/05/2019 00:00	74.29	74.34	73.46	73.95	2484630	EUR	
22/05/2019 00:00	73.72	74.9	73.46	74.9	2222834	EUR	
23/05/2019 00:00	74.93	75.66	74.65	74.9	2486165	EUR	
24/05/2019 00:00	75.18	75.51	74.95	75.16	1806876	EUR	
27/05/2019 00:00	75.47	75.8	75.11	75.57	826615	EUR	
28/05/2019 00:00	75.5	75.61	74.11	74.24	3420488	EUR	
29/05/2019 00:00	73.67	73.69	72.85	73.26	2174010	EUR	
30/05/2019 00:00	73.14	73.34	72.67	73.19	1035190	EUR	
31/05/2019 00:00	72.72	73	71.98	72.24	2460287	EUR	
03/06/2019 00:00	72.12	73.75	71.74	73.75	2490079	EUR	
04/06/2019 00:00	73.25	74.01	73.09	73.68	2335429	EUR	
05/06/2019 00:00	73.96	73.96	72.56	73.71	1618601	EUR	
06/06/2019 00:00	73.96	75.47	73.88	75.02	2873593	EUR	
07/06/2019 00:00	76.93	79.5	76.66	78.32	7097860	EUR	
10/06/2019 00:00	78.38	78.49	76.98	77.3	2272634	EUR	
11/06/2019 00:00	76.81	77.27	75.97	76.1	3012467	EUR	
12/06/2019 00:00	75.95	77.1	75.47	76.57	2658874	EUR	
13/06/2019 00:00	76.49	76.84	75.89	75.98	1963865	EUR	
14/06/2019 00:00	75.68	76.4	75.37	75.98	2498012	EUR	
17/06/2019 00:00	75.79	76.05	75.47	75.47	1989179	EUR	
18/06/2019 00:00	75.66	77.82	75.6	77.47	3302012	EUR	
19/06/2019 00:00	77.35	77.88	76.39	77.88	2586290	EUR	
20/06/2019 00:00	78.12	79.04	78.03	78.33	2796588	EUR	
21/06/2019 00:00	78.17	78.48	77.19	77.68	6401532	EUR	
24/06/2019 00:00	77.83	77.97	77.05	77.12	1732966	EUR	
25/06/2019 00:00	76.98	77.3	76.35	77.05	2272351	EUR	
26/06/2019 00:00	76.6	76.87	75.59	75.92	2837801	EUR	
27/06/2019 00:00	75.85	75.91	75.04	75.68	1618717	EUR	
28/06/2019 00:00	75.39	76.2	75.02	75.91	2374744	EUR	
01/07/2019 00:00	76.25	77.31	76.06	76.83	2147432	EUR	
02/07/2019 00:00	77.2	78.01	76.85	77.09	2371431	EUR	
03/07/2019 00:00	77.63	78.53	77.43	78.24	1797923	EUR	
04/07/2019 00:00	78.02	78.16	77.67	77.97	931974	EUR	
05/07/2019 00:00	78.08	78.47	77.55	77.8	1545292	EUR	
08/07/2019 00:00	77.3	77.6	76.56	76.97	1562158	EUR	
09/07/2019 00:00	76.8	77.49	76.38	77.49	1718514	EUR	
10/07/2019 00:00	77.4	77.72	76.55	76.55	1880726	EUR	
11/07/2019 00:00	77.26	77.26	75.1	75.1	2601806	EUR	
12/07/2019 00:00	75	75.14	73.46	73.5	3167295	EUR	
15/07/2019 00:00	73.75	74.25	73.06	73.79	1819781	EUR	
16/07/2019 00:00	74.16	75.22	73.83	74.32	1963928	EUR	
17/07/2019 00:00	74.48	74.9	74.14	74.25	1351927	EUR	
18/07/2019 00:00	74.09	75.44	73.93	74	2000347	EUR	
19/07/2019 00:00	74.2	74.57	73.62	74.57	2253113	EUR	
22/07/2019 00:00	75	75.41	74.33	75.41	2097294	EUR	
23/07/2019 00:00	75.34	76.27	75.02	75.86	2121045	EUR	
24/07/2019 00:00	76.06	76.28	75.46	75.73	1955720	EUR	
25/07/2019 00:00	76	76.85	75.16	75.4	2829367	EUR	
26/07/2019 00:00	75.87	76.32	75.48	75.95	2318051	EUR	
29/07/2019 00:00	77.68	78.47	77.1	77.1	3259253	EUR	
30/07/2019 00:00	77.14	77.75	75.25	75.58	2616597	EUR	
31/07/2019 00:00	75.32	75.7	73.81	75.46	2661616	EUR	
01/08/2019 00:00	75.65	76.14	74.99	75.49	2015449	EUR	
02/08/2019 00:00	75.5	75.69	74.04	74.22	3400158	EUR	
05/08/2019 00:00	73.85	74.46	72.35	72.35	2904893	EUR	
06/08/2019 00:00	72	73.46	71.74	72.24	2711079	EUR	
07/08/2019 00:00	72.26	73.03	71.86	72.69	2257159	EUR	
08/08/2019 00:00	73.75	74.61	73.15	74.61	2139681	EUR	
09/08/2019 00:00	74.49	74.65	73.55	73.75	1634157	EUR	
12/08/2019 00:00	74.4	74.74	73.57	73.82	1222622	EUR	
13/08/2019 00:00	74.05	75.87	73.98	75.4	2448714	EUR	
14/08/2019 00:00	76.55	77.25	75.28	75.43	3162443	EUR	
15/08/2019 00:00	75	75.61	74.14	74.83	2279833	EUR	
16/08/2019 00:00	75.12	76.28	74.85	75.99	2065004	EUR	
19/08/2019 00:00	76.27	77.31	75.9	77.24	2329059	EUR	
20/08/2019 00:00	76.93	77.74	76.9	77.06	2217389	EUR	
21/08/2019 00:00	76.92	77.93	76.72	77.93	1483352	EUR	
22/08/2019 00:00	77.9	77.91	76.99	77.02	1922119	EUR	
23/08/2019 00:00	76.92	77.73	76.52	76.73	1823197	EUR	
26/08/2019 00:00	76.62	77.3	76.42	76.95	1124172	EUR	
27/08/2019 00:00	76.64	77.92	76.36	77.87	2031754	EUR	
28/08/2019 00:00	77.41	77.85	77.08	77.48	1580576	EUR	
29/08/2019 00:00	77.44	78.46	77.43	78.02	1867581	EUR	
30/08/2019 00:00	78	78.66	77.57	78.12	2048842	EUR	
02/09/2019 00:00	78.29	79.74	78.11	79.53	1507147	EUR	
03/09/2019 00:00	79.8	81.34	79.68	81.05	3348152	EUR	
04/09/2019 00:00	81	82.11	80.93	81.1	2183303	EUR	
05/09/2019 00:00	81.57	81.87	80.89	81.19	2170635	EUR	
06/09/2019 00:00	81.02	81.59	80.39	81.59	2138528	EUR	
09/09/2019 00:00	81.51	81.59	79.26	79.26	2538160	EUR	
10/09/2019 00:00	78.6	78.81	77.72	78.76	3354547	EUR	
11/09/2019 00:00	78.61	79.32	77.96	79.16	2254957	EUR	
12/09/2019 00:00	79.26	80.88	78.43	79.77	2458004	EUR	
13/09/2019 00:00	79.63	80.02	77.85	79.53	2796760	EUR	
16/09/2019 00:00	78.91	80.19	78.85	79.09	1636223	EUR	
17/09/2019 00:00	79.35	80.32	79.17	80	2033867	EUR	
18/09/2019 00:00	80.21	80.63	79.91	80.22	1967526	EUR	
19/09/2019 00:00	80.51	81.46	80.22	81.42	2322057	EUR	
20/09/2019 00:00	81.5	83.32	81.17	83.32	8017591	EUR	
23/09/2019 00:00	84	84.52	83.53	83.69	2993847	EUR	
24/09/2019 00:00	84	85.33	83.78	85.09	3211508	EUR	
25/09/2019 00:00	85.03	85.53	84.24	84.87	2866866	EUR	
26/09/2019 00:00	84.5	85.9	84.47	85.25	2652142	EUR	
27/09/2019 00:00	85.01	85.22	83.99	85.06	2672689	EUR	
30/09/2019 00:00	84.71	85.18	83.96	85.06	2618722	EUR	
01/10/2019 00:00	85.25	85.36	83.56	83.56	2030267	EUR	
02/10/2019 00:00	82.96	83.25	80.58	80.67	3584345	EUR	
03/10/2019 00:00	80.67	81.81	80.28	81.2	2538487	EUR	
04/10/2019 00:00	81.17	82.4	81.07	82.2	2374405	EUR	
07/10/2019 00:00	82.46	83.08	82.25	82.3	1794637	EUR	
08/10/2019 00:00	82.59	82.59	81.93	82.14	1626848	EUR	
09/10/2019 00:00	82.14	82.92	81.8	81.85	1672377	EUR	
10/10/2019 00:00	81.85	82.27	81.17	81.91	1668589	EUR	
11/10/2019 00:00	81.58	82.19	80.96	82.05	2505379	EUR	
14/10/2019 00:00	81.99	81.99	81.12	81.41	1343551	EUR	
15/10/2019 00:00	82	82.64	81.68	82.45	1856392	EUR	
16/10/2019 00:00	82.52	83.28	82.28	82.68	1716397	EUR	
17/10/2019 00:00	82.53	83.98	82.34	83.72	2995183	EUR	
18/10/2019 00:00	83.7	84.22	82.74	82.8	2109113	EUR	
21/10/2019 00:00	82.61	83.3	82.16	82.8	1711843	EUR	
22/10/2019 00:00	82.38	82.68	81.31	82.07	2029201	EUR	
23/10/2019 00:00	81.22	82.08	81.05	81.97	1634021	EUR	
24/10/2019 00:00	82.52	83.52	82.32	83.52	1689446	EUR	
25/10/2019 00:00	83.93	83.93	82.26	83.4	1214757	EUR	
28/10/2019 00:00	83.43	83.5	82.86	83.38	1549437	EUR	
29/10/2019 00:00	83.56	84.39	83.12	84.17	1836527	EUR	
30/10/2019 00:00	83.89	84.98	83.61	84.98	2380597	EUR	
31/10/2019 00:00	86	86.42	82.62	82.62	4128918	EUR	
01/11/2019 00:00	82.35	82.55	81.13	81.57	1965173	EUR	
04/11/2019 00:00	81.85	82.84	81.58	82.7	2029153	EUR	
05/11/2019 00:00	82.4	83.07	81.66	82.76	2337178	EUR	
06/11/2019 00:00	82.62	83.28	82.31	83.28	1547896	EUR	
07/11/2019 00:00	83.47	83.47	82.32	82.36	1806590	EUR	
08/11/2019 00:00	82.07	83.24	81.7	83	1849511	EUR	
11/11/2019 00:00	83.16	83.47	82.75	83.17	1300140	EUR	
12/11/2019 00:00	83	83.84	82.6	83.84	1946137	EUR	
13/11/2019 00:00	83.91	84.13	82.97	82.97	1608663	EUR	
14/11/2019 00:00	83	83.38	81.64	81.68	1460912	EUR	
15/11/2019 00:00	81.72	83.08	81.65	83.08	2456668	EUR	
18/11/2019 00:00	83.06	84.41	82.73	84.41	1992780	EUR	
19/11/2019 00:00	84.31	84.98	82.96	83.11	2001136	EUR	
20/11/2019 00:00	82.97	83.58	82.66	82.88	1511960	EUR	
21/11/2019 00:00	82.26	85.4	81.8	84.9	3180218	EUR	
22/11/2019 00:00	85.5	85.5	83.91	84	2245572	EUR	
25/11/2019 00:00	83.9	85.17	83.81	85.03	1466912	EUR	
26/11/2019 00:00	85	85	84.05	84.5	2654220	EUR	
27/11/2019 00:00	84.46	84.66	84.12	84.38	1568829	EUR	
28/11/2019 00:00	84.2	84.76	84.2	84.46	724861	EUR	
29/11/2019 00:00	84.2	85.13	84.04	84.51	1668445	EUR	
02/12/2019 00:00	84.81	85.4	82.43	82.52	2244540	EUR	
03/12/2019 00:00	82.77	83.28	81.4	82.07	2273280	EUR	
04/12/2019 00:00	82.09	84.07	82.09	83.89	2264954	EUR	
05/12/2019 00:00	84.24	84.58	83.13	83.13	1531167	EUR	
06/12/2019 00:00	82.62	83.77	82.39	83.56	1822891	EUR	
09/12/2019 00:00	83.49	83.52	81.86	81.86	1961959	EUR	
10/12/2019 00:00	85.2	86.95	84.65	86.66	4377846	EUR	
11/12/2019 00:00	88.1	88.1	86.66	87.95	3303334	EUR	
12/12/2019 00:00	88.52	89.17	87.83	88.51	3413787	EUR	
13/12/2019 00:00	89.4	89.66	88.66	89.15	3040555	EUR	
16/12/2019 00:00	89.24	90.66	89.18	90.6	2700861	EUR	
17/12/2019 00:00	90.75	91.1	89.6	89.6	3052866	EUR	
18/12/2019 00:00	89.78	90.59	89.47	90	2513440	EUR	
19/12/2019 00:00	90.4	90.51	89.31	90.09	1950595	EUR	
20/12/2019 00:00	90.1	91.32	89.95	90.86	4691452	EUR	
23/12/2019 00:00	91	91.58	90.34	90.71	1428563	EUR	
24/12/2019 00:00	90.2	91.11	90.2	90.63	320060	EUR	
27/12/2019 00:00	90.5	91.39	90.34	90.84	1228438	EUR	
30/12/2019 00:00	90.83	90.86	89.57	89.75	1273664	EUR	
31/12/2019 00:00	89.28	89.84	89.25	89.62	469568	EUR	
02/01/2020 00:00	89.6	91.05	89.58	90.22	1711335	EUR	
03/01/2020 00:00	90.12	90.91	89.68	90.78	1526128	EUR	
06/01/2020 00:00	91.5	91.98	90.68	91.35	2343833	EUR	
07/01/2020 00:00	91.81	92	90.75	91.03	1964770	EUR	
08/01/2020 00:00	90.55	91.41	90.48	91.34	1709611	EUR	
09/01/2020 00:00	92.25	92.54	91.82	92	1951789	EUR	
10/01/2020 00:00	91.94	93.33	91.75	92.72	1976973	EUR	
13/01/2020 00:00	92.8	93.34	91.72	92.07	1920341	EUR	
14/01/2020 00:00	91.99	92.15	90.65	91.27	2255522	EUR	
15/01/2020 00:00	91.37	92.05	91.19	91.72	2573421	EUR	
16/01/2020 00:00	91.93	92.25	91.33	91.61	1823467	EUR	
17/01/2020 00:00	91.74	92.75	91.72	92.19	1941087	EUR	
20/01/2020 00:00	92.01	92.37	91.45	91.9	1183583	EUR	
21/01/2020 00:00	91.8	91.8	90.48	91.36	1742930	EUR	
22/01/2020 00:00	90.5	90.9	88.83	88.87	2739624	EUR	
23/01/2020 00:00	88.57	89.82	88.46	89.21	2385610	EUR	
24/01/2020 00:00	89.75	90.34	89.07	89.11	2092824	EUR	
27/01/2020 00:00	88.02	88.52	86.61	86.7	2932598	EUR	
28/01/2020 00:00	87.31	88.08	86.91	87.67	1898014	EUR	
29/01/2020 00:00	87.43	88.9	87.3	88.67	1970507	EUR	
30/01/2020 00:00	88	88.06	87.24	87.86	2060287	EUR	
31/01/2020 00:00	87.66	88.23	86.95	86.95	2416094	EUR	
03/02/2020 00:00	87.46	88.51	87.3	87.6	2299455	EUR	
